"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Mult select","","0","0","1","0","0"
"","Checkboxes","select all ckeckboxes","0","0","1","0","0"
"","Switch to iframe","","0","0","1","0","0"
"","Multiple textarea input","","0","0","1","0","0"
"","Checkboxes","select first and second ckeckboxes","0","0","1","0","0"
"","Alert input text window","click Cancel button","0","0","1","0","0"
"","Alert click buttons","click OK button","0","0","1","0","0"
"","Open link in a new tab","New tap link","0","0","1","0","0"
"","Email input","not valid","0","0","1","0","0"
"","The Pop-Up","","0","0","1","0","0"
"","Word input","valid","0","0","1","0","0"
"","Alert click buttons","click Cancel button","0","0","1","0","0"
"","Single select","","0","0","1","0","0"
"","Alert box window","existence","0","0","1","0","0"
"","Email input","valid","0","0","1","0","0"
"","Password input","valid","0","0","1","0","0"
"","Simple button","existed","0","0","1","0","0"
"","Dragndrop","drop boxes","0","0","1","0","0"
"","Open link in a new tab","New tap button","0","0","1","0","0"
"","Dragndrop","drop images","0","0","1","0","0"
"","Checkboxes","select second ckeckbox","0","0","1","0","0"
"","Alert input text window","enter text","0","0","1","0","0"
"","Textarea input","","0","0","1","0","0"
"","Simple button","clickability","0","0","2","0","0"
"","Word input","not valid","0","0","1","0","0"
"","Password input","not valid","0","0","1","0","0"
"","Like a button","existed","0","0","1","0","0"
"","Alert input text window","enter empty string","0","0","1","0","0"
"","Select disabled button","","0","0","1","0","0"
"","Single checkbox","","0","0","1","0","0"
